index,series,season,story,title,doctor,image,collected,url,watched
1,Doctor Who,1,1,An Unearthly Child,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/An_Unearthly_Child,TRUE
2,Doctor Who,1,2,The Daleks,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Daleks,FALSE
3,Doctor Who,1,3,The Edge of Destruction,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Edge_of_Destruction,FALSE
4,Doctor Who,1,4,Marco Polo,William Hartnell,TRUE,FALSE,http://en.wikipedia.org/wiki/Marco_Polo_(Doctor_Who),FALSE
5,Doctor Who,1,5,The Keys of Marinus,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Keys_of_Marinus,FALSE
6,Doctor Who,1,6,The Aztecs,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Aztecs_(Doctor_Who),FALSE
7,Doctor Who,1,7,The Sensorites,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Sensorites,FALSE
8,Doctor Who,1,8,The Reign of Terror,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Reign_of_Terror_(Doctor_Who),FALSE
9,Doctor Who,2,9,Planet of Giants,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/Planet_of_Giants,FALSE
10,Doctor Who,2,10,The Dalek Invasion of Earth,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Dalek_Invasion_of_Earth,FALSE
11,Doctor Who,2,11,The Rescue,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Rescue_(Doctor_Who),FALSE
12,Doctor Who,2,12,The Romans,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Romans_(Doctor_Who),FALSE
13,Doctor Who,2,13,The Web Planet,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Web_Planet,FALSE
14,Doctor Who,2,14,The Crusade,William Hartnell,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Crusade_(Doctor_Who),FALSE
15,Doctor Who,2,15,The Space Museum,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Space_Museum,FALSE
16,Doctor Who,2,16,The Chase,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Chase_(Doctor_Who),FALSE
17,Doctor Who,2,17,The Time Meddler,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/The_Time_Meddler,FALSE
18,Doctor Who,3,18,Galaxy 4,William Hartnell,TRUE,TRUE,http://en.wikipedia.org/wiki/Galaxy_4,FALSE
19,Doctor Who,3,19,Mission to the Unknown aka Dalek Cutaway,William Hartnell,TRUE,FALSE,http://en.wikipedia.org/wiki/Mission_to_the_Unknown,FALSE
20,Doctor Who,3,20,The Myth Makers,William Hartnell,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Myth_Makers,FALSE
21,Doctor Who,3,21,The Daleks' Master Plan,William Hartnell,TRUE,FALSE,http://en.wikipedia.org/wiki/The_Daleks%27_Master_Plan,FALSE
