index,series,season,story,title,doctor,image,collected,url,watched,cover,available
1,Doctor Who,1,1,An Unearthly Child,William Hartnell,True,True,http://en.wikipedia.org/wiki/An_Unearthly_Child,True,1,True
2,Doctor Who,1,2,The Daleks,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Daleks,False,2,True
3,Doctor Who,1,3,The Edge of Destruction,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Edge_of_Destruction,False,3,True
4,Doctor Who,1,4,Marco Polo,William Hartnell,True,False,http://en.wikipedia.org/wiki/Marco_Polo_(Doctor_Who),False,4,False
5,Doctor Who,1,5,The Keys of Marinus,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Keys_of_Marinus,False,5,True
6,Doctor Who,1,6,The Aztecs,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Aztecs_(Doctor_Who),False,6,True
7,Doctor Who,1,7,The Sensorites,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Sensorites,False,7,True
8,Doctor Who,1,8,The Reign of Terror,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Reign_of_Terror_(Doctor_Who),False,8,True
9,Doctor Who,2,9,Planet of Giants,William Hartnell,True,True,http://en.wikipedia.org/wiki/Planet_of_Giants,False,9,True
10,Doctor Who,2,10,The Dalek Invasion of Earth,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Dalek_Invasion_of_Earth,False,10,True
11,Doctor Who,2,11,The Rescue,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Rescue_(Doctor_Who),False,11,True
12,Doctor Who,2,12,The Romans,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Romans_(Doctor_Who),False,12,True
13,Doctor Who,2,13,The Web Planet,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Web_Planet,False,13,True
14,Doctor Who,2,14,The Crusade,William Hartnell,True,False,http://en.wikipedia.org/wiki/The_Crusade_(Doctor_Who),False,14,False
15,Doctor Who,2,15,The Space Museum,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Space_Museum,False,15,True
16,Doctor Who,2,16,The Chase,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Chase_(Doctor_Who),False,16,True
17,Doctor Who,2,17,The Time Meddler,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Time_Meddler,False,17,True
18,Doctor Who,3,18,Galaxy 4,William Hartnell,True,True,http://en.wikipedia.org/wiki/Galaxy_4,False,18,True
19,Doctor Who,3,19,Mission to the Unknown aka Dalek Cutaway,William Hartnell,True,False,http://en.wikipedia.org/wiki/Mission_to_the_Unknown,False,19,False
20,Doctor Who,3,20,The Myth Makers,William Hartnell,True,False,http://en.wikipedia.org/wiki/The_Myth_Makers,False,20,False
21,Doctor Who,3,21,The Daleks' Master Plan,William Hartnell,True,False,http://en.wikipedia.org/wiki/The_Daleks%27_Master_Plan,False,21,False
22,Doctor Who,3,22,The Massacre of St Bartholomew's Eve aka The Massacre,William Hartnell,True,False,http://en.wikipedia.org/wiki/The_Massacre_of_St_Bartholomew%27s_Eve,False,22,False
23,Doctor Who,3,23,The Ark,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Ark_(Doctor_Who),False,23,True
24,Doctor Who,3,24,The Celestial Toymaker,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Celestial_Toymaker,True,24,True
25,Doctor Who,3,25,The Gunfighters,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Gunfighters,False,25,True
26,Doctor Who,3,26,The Savages,William Hartnell,True,True,https://en.wikipedia.org/wiki/The_Savages_(Doctor_Who),False,26,True
27,Doctor Who,3,27,The War Machines,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_War_Machines,False,27,True
28,Doctor Who,4,28,The Smugglers,William Hartnell,True,False,http://en.wikipedia.org/wiki/The_Smugglers,False,28,False
29,Doctor Who,4,29,The Tenth Planet,William Hartnell,True,True,http://en.wikipedia.org/wiki/The_Tenth_Planet,True,29,True
30,Doctor Who,4,30,The Power of the Daleks,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Power_of_the_Daleks,False,30,True
31,Doctor Who,4,31,The Highlanders,Patrick Troughton,True,False,http://en.wikipedia.org/wiki/The_Highlanders_(Doctor_Who),False,31,False
32,Doctor Who,4,32,The Underwater Menace,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Underwater_Menace,False,32,True
33,Doctor Who,4,33,The Moonbase,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Moonbase,False,33,True
34,Doctor Who,4,34,The Macra Terror,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Macra_Terror,False,34,True
35,Doctor Who,4,35,The Faceless Ones,Patrick Troughton,True,False,http://en.wikipedia.org/wiki/The_Faceless_Ones,False,35,True
36,Doctor Who,4,36,The Evil of the Daleks,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Evil_of_the_Daleks,False,36,True
37,Doctor Who,5,37,The Tomb of the Cybermen,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Tomb_of_the_Cybermen,False,37,True
38,Doctor Who,5,38,The Abominable Snowmen,Patrick Troughton,True,False,http://en.wikipedia.org/wiki/The_Abominable_Snowmen,False,38,True
39,Doctor Who,5,39,The Ice Warriors,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Ice_Warriors,False,39,True
40,Doctor Who,5,40,The Enemy of the World,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Enemy_of_the_World,False,40,True
41,Doctor Who,5,41,The Web of Fear,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Web_of_Fear,False,41,True
42,Doctor Who,5,42,Fury from the Deep,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/Fury_from_the_Deep,False,42,True
43,Doctor Who,5,43,The Wheel in Space,Patrick Troughton,True,False,http://en.wikipedia.org/wiki/The_Wheel_in_Space,False,43,False
44,Doctor Who,6,44,The Dominators,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Dominators,False,44,True
45,Doctor Who,6,45,The Mind Robber,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Mind_Robber,False,45,True
46,Doctor Who,6,46,The Invasion,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Invasion_(Doctor_Who),False,46,True
47,Doctor Who,6,47,The Krotons,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Krotons,False,47,True
48,Doctor Who,6,48,The Seeds of Death,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_Seeds_of_Death,False,48,True
49,Doctor Who,6,49,The Space Pirates,Patrick Troughton,True,False,http://en.wikipedia.org/wiki/The_Space_Pirates,False,49,False
50,Doctor Who,6,50,The War Games,Patrick Troughton,True,True,http://en.wikipedia.org/wiki/The_War_Games,False,50,True
51,Doctor Who,7,51,Spearhead from Space,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/Spearhead_from_Space,False,51,True
52,Doctor Who,7,52,Doctor Who and the Silurians,Jon Pertwee,True,False,http://en.wikipedia.org/wiki/Doctor_Who_and_the_Silurians,False,52,True
53,Doctor Who,7,53,The Ambassadors of Death,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/The_Ambassadors_of_Death,False,53,True
54,Doctor Who,7,54,Inferno,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/Inferno_(Doctor_Who),False,54,True
55,Doctor Who,7,55,Terror of the Autons,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/Terror_of_the_Autons,False,55,True
56,Doctor Who,8,56,The Mind of Evil,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/The_Mind_of_Evil,False,56,True
57,Doctor Who,8,57,The Claws of Axos,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/The_Claws_of_Axos,False,57,True
58,Doctor Who,8,58,Colony in Space,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/Colony_in_Space,False,58,True
59,Doctor Who,8,59,The Daemons,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/The_D%C3%A6mons,False,59,True
60,Doctor Who,9,60,Day of the Daleks,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/Day_of_the_Daleks,False,60,True
61,Doctor Who,9,61,The Curse of Peladon,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/The_Curse_of_Peladon,False,61,True
62,Doctor Who,9,62,The Sea Devils,Jon Pertwee,True,False,http://en.wikipedia.org/wiki/The_Sea_Devils,False,62,True
63,Doctor Who,9,63,The Mutants,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/The_Mutants,False,63,True
64,Doctor Who,9,64,The Time Monster,Jon Pertwee,True,True,http://en.wikipedia.org/wiki/The_Time_Monster,False,64,True
